target,lam_p,lam_b,lam_e,trial,round,trials_avail,n_mut,d_ex,d_em,peak_err,nn_dist,logit,is_id,is_bright,scaf_err
mOrange,10.0,40.0,20.0,3,3,12,7,62.89999999999998,55.60000000000002,59.22,24.630504608154297,-3.1849,True,False,57.5
mOrange,10.0,40.0,20.0,4,1,12,6,59.89999999999998,54.60000000000002,57.26,26.15431785583496,-3.9969,True,False,57.5
mOrange,10.0,40.0,20.0,4,2,12,6,53.19999999999999,47.200000000000045,50.2,26.86807632446289,-4.3212,True,False,57.5
mOrange,10.0,40.0,20.0,4,3,12,6,56.39999999999998,50.89999999999998,53.65,27.842178344726562,-4.1986,True,False,57.5
mOrange,10.0,40.0,20.0,5,1,12,5,67.0,60.60000000000002,63.79,20.944265365600586,-4.7506,True,False,57.5
mOrange,10.0,40.0,20.0,5,2,12,6,55.80000000000001,52.10000000000002,53.96,27.415327072143555,-3.6433,True,False,57.5
mOrange,10.0,40.0,20.0,5,3,12,6,68.69999999999999,53.0,60.87,25.15770149230957,2.6028,True,True,57.5
mOrange,10.0,40.0,20.0,6,1,12,5,55.0,51.10000000000002,53.06,27.449138641357422,-5.1231,True,False,57.5
mOrange,10.0,40.0,20.0,6,2,12,6,54.89999999999998,23.700000000000045,39.31,26.2224178314209,-0.1939,True,False,57.5
mOrange,10.0,40.0,20.0,6,3,12,6,61.69999999999999,43.799999999999955,52.73,25.412702560424805,1.1074,True,True,57.5
mOrange,10.0,40.0,20.0,7,2,12,6,62.19999999999999,56.30000000000001,59.23,24.948638916015625,-4.0315,True,False,57.5
mOrange,10.0,40.0,20.0,7,3,12,6,56.30000000000001,51.30000000000001,53.8,28.9086856842041,-4.2093,True,False,57.5
mOrange,10.0,40.0,20.0,8,1,12,5,72.60000000000002,64.0,68.31,21.900197982788086,-0.0154,True,False,57.5
mOrange,10.0,40.0,20.0,8,2,12,6,61.60000000000002,56.10000000000002,58.85,27.410642623901367,-4.1072,True,False,57.5
mOrange,10.0,40.0,20.0,8,3,12,6,57.60000000000002,53.19999999999999,55.4,29.061691284179688,-3.6087,True,False,57.5
mOrange,10.0,40.0,20.0,9,1,12,5,65.30000000000001,59.10000000000002,62.22,19.911991119384766,-4.4097,True,False,57.5
